Song Title,Lead Artist,Featured Artist(s),Daily Streams,Total Streams
Die With A Smile,Lady Gaga,Bruno Mars,"10,046,876","1,730,353,700"
DtMF,Bad Bunny,,"7,782,478","311,718,186"
APT,ROSÉ,Bruno Mars,"7,659,899","1,037,420,486"
BIRDS OF A FEATHER,Billie Eilish,,"7,543,429","1,968,996,818"
Abracadabra,Lady Gaga,,"6,184,120","17,052,429"
BALE INoLVIDABLE,Bad Bunny,,"5,520,802","210,729,056"
That's So True,Gracie Abrams,,"5,443,684","612,897,200"
Timeless,The Weeknd,Playboi Carti,"5,172,313","523,495,423"
WILDFLOWER,Billie Eilish,,"5,154,603","802,200,575"
luther,Kendrick Lamar,SZA,"5,014,148","370,050,991"
